"flavanoids","yhat"
0.34,0.471690733157912
0.4348,0.471690733157912
0.5296,0.471690733157912
0.6244,0.471690733157912
0.7192,0.471690733157912
0.814,0.471690733157912
0.9088,0.469832250566668
1.0036,0.460690175159639
1.0984,0.460690175159639
1.1932,0.460690175159639
1.288,0.45327138548576
1.3828,0.43184976547393
1.4776,0.43184976547393
1.5724,0.43184976547393
1.6672,0.385643038076951
1.762,0.385643038076951
1.8568,0.270785102378107
1.9516,0.270785102378107
2.0464,0.270785102378107
2.1412,0.270785102378107
2.236,0.270785102378107
2.3308,0.270785102378107
2.4256,0.270785102378107
2.5204,0.270785102378107
2.6152,0.270785102378107
2.71,0.270785102378107
2.8048,0.270785102378107
2.8996,0.270785102378107
2.9944,0.270785102378107
3.0892,0.270785102378107
3.184,0.270785102378107
3.2788,0.270785102378107
3.3736,0.270785102378107
3.4684,0.270785102378107
3.5632,0.270785102378107
3.658,0.270785102378107
3.7528,0.270785102378107
3.8476,0.270785102378107
3.9424,0.270785102378107
4.0372,0.270785102378107
4.132,0.270785102378107
4.2268,0.270785102378107
4.3216,0.270785102378107
4.4164,0.270785102378107
4.5112,0.270785102378107
4.606,0.270785102378107
4.7008,0.270785102378107
4.7956,0.270785102378107
4.8904,0.270785102378107
4.9852,0.270785102378107
5.08,0.270785102378107
